2026-06-20 14:10:20.355801 | Eyes Opened | 0.8289
2026-06-20 14:10:20.494285 | Eyes Opened | 0.8298
2026-06-20 14:10:20.596825 | Eyes Closed | 0.8127
2026-06-20 14:10:20.674384 | Eyes Opened | 0.8212
2026-06-20 14:10:20.745844 | Eyes Opened | 0.8257
2026-06-20 14:10:20.832129 | Eyes Opened | 0.8204
2026-06-20 14:10:20.901979 | Eyes Opened | 0.8279
2026-06-20 14:10:20.975953 | Eyes Opened | 0.8385
2026-06-20 14:10:21.049836 | Eyes Opened | 0.8327
2026-06-20 14:10:21.121158 | Eyes Opened | 0.8387
2026-06-20 14:10:21.191591 | Eyes Opened | 0.8387
2026-06-20 14:10:21.269300 | Eyes Opened | 0.7957
2026-06-20 14:10:21.335283 | Eyes Opened | 0.8282
2026-06-20 14:10:21.438462 | Eyes Opened | 0.8238
2026-06-20 14:10:21.538452 | Eyes Opened | 0.8101
2026-06-20 14:10:21.616798 | Eyes Opened | 0.8341
2026-06-20 14:10:21.700110 | Eyes Opened | 0.8229
2026-06-20 14:10:21.775851 | Eyes Opened | 0.8229
2026-06-20 14:10:21.852604 | Eyes Opened | 0.8305
2026-06-20 14:10:21.936500 | Eyes Opened | 0.8289
2026-06-20 14:10:22.020253 | Eyes Opened | 0.8352
2026-06-20 14:10:22.097478 | Eyes Opened | 0.8401
2026-06-20 14:10:22.178455 | Eyes Opened | 0.8629
2026-06-20 14:10:22.178698 | Yawning | 0.7669
2026-06-20 14:10:22.270786 | Eyes Opened | 0.8532
2026-06-20 14:10:22.271011 | Yawning | 0.7866
2026-06-20 14:10:22.358658 | Eyes Opened | 0.8556
2026-06-20 14:10:22.358888 | Yawning | 0.7703
2026-06-20 14:10:22.443171 | Eyes Opened | 0.8618
2026-06-20 14:10:22.443464 | Yawning | 0.7779
2026-06-20 14:10:22.543294 | Eyes Opened | 0.8613
2026-06-20 14:10:22.543545 | Yawning | 0.7713
2026-06-20 14:10:22.631307 | Eyes Opened | 0.8605
2026-06-20 14:10:22.631563 | Yawning | 0.7760
2026-06-20 14:10:22.708486 | Eyes Opened | 0.8636
2026-06-20 14:10:22.708680 | Yawning | 0.7624
2026-06-20 14:10:22.793683 | Eyes Opened | 0.8655
2026-06-20 14:10:22.793908 | Yawning | 0.7693
2026-06-20 14:10:22.878128 | Eyes Opened | 0.8649
2026-06-20 14:10:22.878584 | Yawning | 0.7718
2026-06-20 14:10:22.943754 | Eyes Opened | 0.8377
2026-06-20 14:10:22.943918 | Yawning | 0.7646
2026-06-20 14:10:23.007893 | Eyes Opened | 0.8363
2026-06-20 14:10:23.008057 | Yawning | 0.7715
2026-06-20 14:10:23.069427 | Eyes Opened | 0.8628
2026-06-20 14:10:23.069615 | Yawning | 0.7646
2026-06-20 14:10:23.139760 | Eyes Opened | 0.8628
2026-06-20 14:10:23.139922 | Yawning | 0.7646
2026-06-20 14:10:23.212264 | Eyes Opened | 0.8643
2026-06-20 14:10:23.212480 | Yawning | 0.7781
2026-06-20 14:10:23.274768 | Eyes Opened | 0.8654
2026-06-20 14:10:23.274951 | Yawning | 0.7537
2026-06-20 14:10:23.345073 | Eyes Opened | 0.8621
2026-06-20 14:10:23.345238 | Yawning | 0.7624
2026-06-20 14:10:23.418504 | Eyes Opened | 0.8581
2026-06-20 14:10:23.418739 | Yawning | 0.7537
2026-06-20 14:10:23.490773 | Eyes Opened | 0.8597
2026-06-20 14:10:23.490982 | Yawning | 0.7614
2026-06-20 14:10:23.562282 | Eyes Opened | 0.8581
